platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
43641,Glock-18 | Bunsen Burner (Factory New),2026-04-06 20:42:12.375446,64.58,307,63.0,53
5715,Glock-18 | Bunsen Burner (Field-Tested),2026-04-06 20:42:12.375446,6.01,174,5.7,17
35150,Glock-18 | Bunsen Burner (Minimal Wear),2026-04-06 20:44:22.539544,7.89,179,7.3,22
51934,Glock-18 | Bunsen Burner (Well-Worn),2026-04-06 20:47:37.761074,6.96,20,4.6,9
871,Glock-18 | Candy Apple (Factory New),2026-04-06 20:36:47.340927,18.2,3543,18.1,66
50335,Glock-18 | Candy Apple (Field-Tested),2026-04-06 20:43:17.467436,6.38,180,5.8,14
5248,Glock-18 | Candy Apple (Minimal Wear),2026-04-06 20:41:07.463657,8.36,845,8.0,27
53603,Glock-18 | Catacombs (Battle-Scarred),2026-04-06 20:55:12.610454,17.9,8,5.9,9
1590,Glock-18 | Catacombs (Factory New),2026-04-06 20:43:17.467436,42.88,485,41.1,55
48552,Glock-18 | Catacombs (Field-Tested),2026-04-06 20:44:22.539544,4.78,40,4.3,14
1550,Glock-18 | Catacombs (Minimal Wear),2026-04-06 20:42:12.375446,7.87,96,7.4,16
55355,Glock-18 | Catacombs (Well-Worn),2026-04-06 23:01:49.528441,6.45,21,3.3,11
44960,Glock-18 | Death Rattle (Battle-Scarred),2026-04-06 23:01:49.528441,0.86,23,0.68,5
1821,Glock-18 | Death Rattle (Field-Tested),2026-04-06 20:47:37.761074,0.6,176,0.57,8
43297,Glock-18 | Death Rattle (Minimal Wear),2026-04-06 20:48:42.679147,3.14,476,2.9,27
43082,Glock-18 | Death Rattle (Well-Worn),2026-04-06 23:01:49.528441,0.68,34,0.58,5
43712,Glock-18 | Dragon Tattoo (Factory New),2026-04-06 20:55:12.610454,1075.0,385,1040.0,38
987,Glock-18 | Grinder (Factory New),2026-04-06 20:35:42.337316,100.28,592,97.0,56
53776,Glock-18 | Grinder (Field-Tested),2026-04-06 20:44:22.539544,27.99,47,25.7,10
5714,Glock-18 | Grinder (Minimal Wear),2026-04-06 20:35:42.337316,24.5,288,24.4,16
56984,Glock-18 | Groundwater (Battle-Scarred),2026-04-06 23:15:54.144812,196.99,5,132.0,3
56203,Glock-18 | Groundwater (Factory New),2026-04-06 16:48:43.595343,1868.0,1,401.0,4
45725,Glock-18 | Groundwater (Field-Tested),2026-04-06 23:08:19.069511,270.0,4,171.0,4
52010,Glock-18 | Groundwater (Minimal Wear),2026-04-06 23:16:59.160652,290.0,12,184.0,4
59457,Glock-18 | Groundwater (Well-Worn),2026-04-06 23:01:49.528441,698.0,5,126.0,3
389,Glock-18 | High Beam (Factory New),2026-04-06 17:34:42.048008,1.58,7408,1.5,72
46710,Glock-18 | Ironwork (Battle-Scarred),2026-04-06 16:56:42.757966,2.61,75,2.2,8
1589,Glock-18 | Ironwork (Field-Tested),2026-04-06 16:56:42.757966,3.59,178,3.3,17
34972,Glock-18 | Ironwork (Minimal Wear),2026-04-06 16:56:42.757966,7.44,277,7.3,22
43538,Glock-18 | Ironwork (Well-Worn),2026-04-06 16:56:42.757966,2.64,58,2.4,13
2523,Glock-18 | Moonrise (Factory New),2026-04-06 17:21:41.833287,30.78,1190,30.5,58
1396,Glock-18 | Moonrise (Field-Tested),2026-04-06 17:22:41.915273,5.66,375,5.7,33
1419,Glock-18 | Moonrise (Minimal Wear),2026-04-06 17:22:41.915273,10.89,392,9.9,28
