platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
27037,★ M9 Bayonet | Crimson Web (Minimal Wear),2026-04-06 23:22:24.277255,6582.61,5,0.0,0
23513,★ M9 Bayonet | Doppler (Factory New),2026-04-06 20:46:32.420472,7342.54,281,0.0,0
24773,★ M9 Bayonet | Fade (Factory New),2026-04-06 21:00:37.712848,7673.92,60,0.0,0
24852,★ M9 Bayonet | Marble Fade (Factory New),2026-04-06 21:01:42.717314,6128.82,59,0.0,0
27532,★ M9 Bayonet | Marble Fade (Minimal Wear),2026-04-06 23:27:49.212140,7014.68,2,0.0,0
26915,★ M9 Bayonet | Slaughter (Factory New),2026-04-06 23:21:19.247592,6571.79,12,0.0,0
27176,★ M9 Bayonet | Slaughter (Field-Tested),2026-04-06 23:24:34.181982,4890.71,3,0.0,0
26823,★ M9 Bayonet | Slaughter (Minimal Wear),2026-04-06 23:20:14.105087,5438.71,7,0.0,0
25967,★ M9 Bayonet | Tiger Tooth (Factory New),2026-04-06 23:11:34.016984,5261.58,42,0.0,0
356073405,★ Moto Gloves | Boom! (Field-Tested),2026-04-06 16:58:41.612927,4515.29,48,0.0,0
553370438,★ Moto Gloves | Boom! (Minimal Wear),2026-04-06 17:03:42.832254,7080.09,35,0.0,0
553370626,★ Moto Gloves | Eclipse (Minimal Wear),2026-04-06 17:03:42.832254,5927.5,24,0.0,0
553466506,★ Specialist Gloves | Fade (Minimal Wear),2026-04-06 17:24:41.820862,4346.85,132,0.0,0
553466343,★ Sport Gloves | Amphibious (Minimal Wear),2026-04-06 17:24:41.820862,6005.25,116,0.0,0
553370520,★ Sport Gloves | Arid (Well-Worn),2026-04-06 17:03:42.832254,4828.96,6,0.0,0
809255099961180160,★ Sport Gloves | Nocts (Field-Tested),2026-04-06 18:37:42.335062,4776.37,182,0.0,0
810988128977289216,★ Sport Gloves | Nocts (Minimal Wear),2026-04-06 18:39:42.497638,7756.35,90,0.0,0
553466360,★ Sport Gloves | Omega (Minimal Wear),2026-04-06 17:24:41.820862,4223.27,101,0.0,0
809235248037101568,★ Sport Gloves | Slingshot (Minimal Wear),2026-04-06 18:37:42.335062,8085.45,95,0.0,0
918435008607358976,★ StatTrak™ Butterfly Knife | Autotronic (Field-Tested),2026-04-06 18:56:42.646547,6983.8,9,0.0,0
918052566653259776,★ StatTrak™ Butterfly Knife | Autotronic (Minimal Wear),2026-04-06 18:56:42.646547,8342.94,6,0.0,0
916571452603424768,★ StatTrak™ Butterfly Knife | Black Laminate (Field-Tested),2026-04-06 18:56:42.646547,5150.27,4,0.0,0
3792616,★ StatTrak™ Butterfly Knife | Crimson Web (Field-Tested),2026-04-06 16:38:42.813529,14305.39,1,0.0,0
553434258,★ StatTrak™ Butterfly Knife | Damascus Steel (Field-Tested),2026-04-06 17:08:42.045924,5665.32,3,0.0,0
921988678191894528,★ StatTrak™ Butterfly Knife | Freehand (Field-Tested),2026-04-06 18:57:42.744089,4734.19,5,0.0,0
916467030819717120,★ StatTrak™ Butterfly Knife | Lore (Battle-Scarred),2026-04-06 18:56:42.646547,4489.03,4,0.0,0
916252693813313536,★ StatTrak™ Butterfly Knife | Lore (Field-Tested),2026-04-06 18:56:42.646547,5716.74,5,0.0,0
24747,★ StatTrak™ Butterfly Knife | Night (Field-Tested),2026-04-06 21:00:37.712848,4418.94,3,0.0,0
553432261,★ StatTrak™ Butterfly Knife | Rust Coat (Battle-Scarred),2026-04-06 17:08:42.045924,4125.4,11,0.0,0
27724,★ StatTrak™ Butterfly Knife | Stained (Field-Tested),2026-04-06 23:29:59.176690,4820.69,2,0.0,0
553370635,★ StatTrak™ Butterfly Knife | Stained (Well-Worn),2026-04-06 17:03:42.832254,4731.57,2,0.0,0
553430835,★ StatTrak™ Butterfly Knife | Tiger Tooth (Factory New),2026-04-06 17:08:42.045924,9598.84,3,0.0,0
27472,★ StatTrak™ Karambit | Damascus Steel (Field-Tested),2026-04-06 23:27:49.212140,4586.07,5,0.0,0
3228737,★ StatTrak™ Karambit | Lore (Field-Tested),2026-04-06 16:37:41.571974,5255.38,3,0.0,0
26299,★ StatTrak™ Karambit | Tiger Tooth (Factory New),2026-04-06 23:14:49.035998,7965.73,4,0.0,0
26070,★ StatTrak™ M9 Bayonet | Doppler (Factory New),2026-04-06 23:12:39.131020,8125.08,15,0.0,0
25472,★ StatTrak™ M9 Bayonet | Fade (Factory New),2026-04-06 23:06:09.414411,8094.55,13,0.0,0
26295,★ StatTrak™ M9 Bayonet | Marble Fade (Factory New),2026-04-06 23:14:49.035998,6527.47,9,0.0,0
1228321,★ StatTrak™ M9 Bayonet | Tiger Tooth (Factory New),2026-04-06 16:34:42.280290,5381.16,4,0.0,0
553492180,★ StatTrak™ Skeleton Knife | Slaughter (Factory New),2026-04-06 18:17:42.319285,4588.83,1,0.0,0
553482887,★ StatTrak™ Talon Knife | Doppler (Factory New),2026-04-06 17:47:41.993787,7038.39,8,0.0,0
553482884,★ StatTrak™ Talon Knife | Marble Fade (Factory New),2026-04-06 17:47:41.993787,4737.77,4,0.0,0
553480781,★ StatTrak™ Talon Knife | Slaughter (Minimal Wear),2026-04-06 17:39:42.080123,4881.47,1,0.0,0
553482973,★ Talon Knife | Doppler (Minimal Wear),2026-04-06 17:47:41.993787,7427.66,4,0.0,0
553482909,★ Talon Knife | Marble Fade (Minimal Wear),2026-04-06 17:47:41.993787,4468.49,4,0.0,0
553479533,★ Talon Knife | Slaughter (Factory New),2026-04-06 17:36:42.899410,5119.39,10,0.0,0
