platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
23774,StatTrak™ PP-Bizon | Cobalt Halftone (Well-Worn),2026-04-06 20:49:47.578142,321.75,1,,
553487595,StatTrak™ PP-Bizon | Embargo (Battle-Scarred),2026-04-06 18:08:42.170030,28.12,19,13.3,14
553487567,StatTrak™ PP-Bizon | Embargo (Factory New),2026-04-06 18:08:42.170030,203.37,6,158.0,3
553487302,StatTrak™ PP-Bizon | Embargo (Field-Tested),2026-04-06 18:06:42.299296,29.1,17,28.0,1
553487521,StatTrak™ PP-Bizon | Embargo (Minimal Wear),2026-04-06 18:08:42.170030,68.86,7,,
27741,StatTrak™ PP-Bizon | Fuel Rod (Battle-Scarred),2026-04-06 23:29:59.176690,13.1,25,10.2,4
26263,StatTrak™ PP-Bizon | Fuel Rod (Factory New),2026-04-06 23:14:49.035998,72.13,22,68.0,1
24124,StatTrak™ PP-Bizon | Fuel Rod (Field-Tested),2026-04-06 20:54:07.550729,13.77,79,13.1,21
26653,StatTrak™ PP-Bizon | Fuel Rod (Minimal Wear),2026-04-06 23:19:09.225198,27.96,33,22.1,5
23411,StatTrak™ PP-Bizon | Fuel Rod (Well-Worn),2026-04-06 20:45:27.525679,14.24,69,10.0,1
5844289,StatTrak™ PP-Bizon | Harvester (Battle-Scarred),2026-04-06 16:38:42.813529,2.56,16,1.4,136
19774476,StatTrak™ PP-Bizon | Harvester (Factory New),2026-04-06 16:40:41.516340,25.04,4,12.7,8
