local_item_id,market_hash_name,chinese_name,tier,enabled
5236,Sticker | MLG | MLG Columbus 2016,印花 | MLG | 2016年 MLG 哥伦布锦标赛,2,1
5237,Sticker | TACO (Foil) | MLG Columbus 2016,印花 | TACO（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5240,Souvenir USP-S | Royal Blue (Well-Worn),USP消音版（纪念品） | 宝蓝之色 (破损不堪),2,1
5241,Sticker | Cloud9 | MLG Columbus 2016,印花 | Cloud9 | 2016年 MLG 哥伦布锦标赛,2,1
5242,Sticker | KRIMZ (Foil) | MLG Columbus 2016,印花 | KRIMZ（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5243,MLG Columbus 2016 Cache Souvenir Package,2016年 MLG 哥伦布锦标赛死城之谜纪念包,2,1
5244,MLG Columbus 2016 Cobblestone Souvenir Package,2016年 MLG 哥伦布锦标赛古堡激战纪念包,2,1
5245,Sticker | n0thing | MLG Columbus 2016,印花 | n0thing | 2016年 MLG 哥伦布锦标赛,2,1
5250,Sticker | kennyS (Foil) | MLG Columbus 2016,印花 | kennyS（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5251,Sticker | Ninjas in Pyjamas (Foil) | MLG Columbus 2016,印花 | Ninjas in Pyjamas（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5252,Souvenir Galil AR | Hunting Blind (Well-Worn),加利尔AR（纪念品） | 隐蔽猎手 (破损不堪),2,1
5253,★ Bowie Knife | Crimson Web (Battle-Scarred),鲍伊猎刀（★） | 深红之网 (战痕累累),2,1
5255,Sticker | TACO | MLG Columbus 2016,印花 | TACO | 2016年 MLG 哥伦布锦标赛,2,1
5256,★ Karambit | Scorched (Battle-Scarred),爪子刀（★） | 枯焦之色 (战痕累累),2,1
5257,Sticker | Ninjas in Pyjamas | MLG Columbus 2016,印花 | Ninjas in Pyjamas | 2016年 MLG 哥伦布锦标赛,2,1
5258,Sticker | RpK | MLG Columbus 2016,印花 | RpK | 2016年 MLG 哥伦布锦标赛,2,1
5259,StatTrak™ FAMAS | Valence (Factory New),法玛斯（StatTrak™） | 元素轮廓 (崭新出厂),2,1
5260,StatTrak™ Sawed-Off | Orange DDPAT (Battle-Scarred),截短霰弹枪（StatTrak™） | 橙黄 DDPAT (战痕累累),2,1
5262,Sticker | Spiidi (Foil) | MLG Columbus 2016,印花 | Spiidi（闪亮）| 2016年 MLG 哥伦布锦标赛,2,1
5263,Sticker | denis | MLG Columbus 2016,印花 | denis | 2016年 MLG 哥伦布锦标赛,2,1
5264,Autograph Capsule | Splyce | MLG Columbus 2016,亲笔签名胶囊 | Splyce | 2016年 MLG 哥伦布锦标赛,2,1
5266,Souvenir XM1014 | Blue Spruce (Minimal Wear),XM1014（纪念品） | 蓝色云杉 (略有磨损),2,1
